1.18,236.0,1.18,2.36
1.71,342.0,3.42,3.42
1.54,308.0,4.62,3.08
1.65,330.0,6.6,3.3
1.69,338.0,8.45,3.38
1.82,364.0,10.92,3.64
1.23,246.0,8.61,2.46
1.64,328.0,13.12,3.28
0.59,118.0,5.31,1.18
0.77,154.0,7.7,1.54
1.96,392.0,21.56,3.92
0.51,102.0,6.12,1.02
0.61,122.0,7.93,1.22
1.19,238.0,16.66,2.38
1.77,354.0,26.55,3.54
1.65,330.0,26.4,3.3
1.75,350.0,29.75,3.5
1.67,334.0,30.06,3.34
0.6,120.0,11.4,1.2
0.65,130.0,13.0,1.3
1.2,240.0,25.2,2.4
0.58,116.0,12.76,1.16
1.56,312.0,35.88,3.12
0.9,180.0,21.6,1.8
0.94,188.0,23.5,1.88
0.5,100.0,13.0,1.0
0.69,138.0,18.63,1.38
1.9,380.0,53.2,3.8
0.59,118.0,17.11,1.18
1.14,228.0,34.2,2.28
1.4,280.0,43.4,2.8
1.61,322.0,51.52,3.22
1.33,266.0,43.89,2.66
0.97,194.0,32.98,1.94
0.84,168.0,29.4,1.68
1.4,280.0,50.4,2.8
2.0,400.0,74.0,4.0
1.52,304.0,57.76,3.04
0.68,136.0,26.52,1.36
0.81,162.0,32.4,1.62
1.48,296.0,60.68,2.96
0.62,124.0,26.04,1.24
1.64,328.0,70.52,3.28
1.75,350.0,77.0,3.5
1.63,326.0,73.35,3.26
1.35,270.0,62.1,2.7
0.99,198.0,46.53,1.98
1.86,372.0,89.28,3.72
0.88,176.0,43.12,1.76
1.37,274.0,68.5,2.74
0.67,134.0,34.17,1.34
1.9,380.0,98.8,3.8
0.69,138.0,36.57,1.38
1.44,288.0,77.76,2.88
1.6,320.0,88.0,3.2
1.19,238.0,66.64,2.38
1.37,274.0,78.09,2.74
0.8,160.0,46.4,1.6
1.13,226.0,66.67,2.26
0.97,194.0,58.2,1.94
1.61,322.0,98.21,3.22
1.49,298.0,92.38,2.98
1.9,380.0,119.7,3.8
0.76,152.0,48.64,1.52
0.68,136.0,44.2,1.36
0.97,194.0,64.02,1.94
0.67,134.0,44.89,1.34
0.73,146.0,49.64,1.46
1.17,234.0,80.73,2.34
1.04,208.0,72.8,2.08
1.6,320.0,113.6,3.2
0.57,114.0,41.04,1.14
0.97,194.0,70.81,1.94
1.55,310.0,114.7,3.1
0.69,138.0,51.75,1.38
1.39,278.0,105.64,2.78
1.85,370.0,142.45,3.7
0.51,102.0,39.78,1.02
0.55,110.0,43.45,1.1
1.86,372.0,148.8,3.72
0.96,192.0,77.76,1.92
1.04,208.0,85.28,2.08
0.99,198.0,82.17,1.98
0.61,122.0,51.24,1.22
