0.0,0.0,0.0,0.0
-72.24,127.71,-5.16,1.29
-131.04,231.66,-16.38,2.34
-124.32,219.78,-17.76,2.22
-164.45,296.01,-8.97,2.99
-148.5,267.3,-16.2,2.7
-113.3,203.94,-18.54,2.06
-91.26,167.31,-5.07,1.69
-144.72,265.32,-16.08,2.68
-146.34,268.29,-24.39,2.71
-142.57,266.31,-8.07,2.69
-128.79,240.57,-14.58,2.43
-63.6,118.8,-10.8,1.2
-62.4,118.8,-3.6,1.2
-76.96,146.52,-5.92,1.48
-65.0,123.75,-7.5,1.25
-100.88,192.06,-15.52,1.94
-151.98,295.02,-11.92,2.98
-121.38,235.62,-11.9,2.38
-112.71,218.79,-13.26,2.21
-123.42,239.58,-16.94,2.42
-75.48,146.52,-11.84,1.48
-105.57,204.93,-18.63,2.07
-55.2,113.85,-3.45,1.15
-122.88,253.44,-10.24,2.56
-67.2,138.6,-7.0,1.4
-137.28,283.14,-17.16,2.86
-80.16,165.33,-11.69,1.67
-64.32,132.66,-10.72,1.34
-55.68,114.84,-10.44,1.16
-124.55,262.35,-10.6,2.65
-66.7,143.55,-4.35,1.45
-117.9,259.38,-7.86,2.62
-50.6,113.85,-3.45,1.15
-51.04,114.84,-4.64,1.16
-101.91,234.63,-9.48,2.37
-102.77,236.61,-11.95,2.39
-51.17,117.81,-7.14,1.19
-109.22,251.46,-17.78,2.54
-46.01,105.93,-8.56,1.07
-76.97,177.21,-16.11,1.79
-63.42,149.49,-4.53,1.51
-60.9,143.55,-5.8,1.45
-52.89,127.71,-3.87,1.29
-67.2,166.32,-5.04,1.68
-77.22,196.02,-5.94,1.98
-96.72,245.52,-9.92,2.48
-102.22,266.31,-10.76,2.69
-76.38,198.99,-10.05,2.01
-110.2,287.1,-17.4,2.9
-68.78,179.19,-12.67,1.81
-77.9,202.95,-16.4,2.05
-84.74,220.77,-20.07,2.23
-66.15,187.11,1.89,1.89
-59.85,169.29,-0.0,1.71
-94.85,268.29,-2.71,2.71
-47.6,134.64,-2.72,1.36
-56.0,158.4,-4.8,1.6
-46.9,132.66,-5.36,1.34
-105.0,297.0,-15.0,3.0
-66.85,189.09,-11.46,1.91
-71.4,201.96,-14.28,2.04
-36.4,102.96,-8.32,1.04
-81.9,231.66,-21.06,2.34
-64.26,187.11,-7.56,1.89
-98.94,288.09,-23.28,2.91
-61.05,183.15,-5.55,1.85
-59.07,177.21,-16.11,1.79
-61.44,190.08,-5.76,1.92
-79.36,245.52,-22.32,2.48
-38.13,121.77,12.3,1.23
-82.46,263.34,23.94,2.66
-66.96,213.84,-6.48,2.16
